content,course_link,course_start_date,description,duration,faculty_1_description,faculty_1_designation,faculty_1_name,faculty_2_description,faculty_2_designation,faculty_2_name,fee_in_inr,fee_in_usd,institute,prerequisites,skills,target_students,title,what_you_will_learn
"1. Talent Management : Concept and Framework
2. Talent Acquisition and Retention
3. Performance  Appraisal
4. Compensation and Rewards
5. Motivation and Engagement
6. Talent Development
7. Career and succession planning
8. Mentoring and Coaching
9. Measuring Effectiveness of Talent Management",https://talentedge.com/xlri-jamshedpur/talent-management-course,,"The management of talent in the workplace is a matter of central concern, not only to HR-professionals but to all managers in general. Therefore, all managers, irrespective of their functional areas, are called on to solve problems that involve significant Talent Management issues. The bas",,"Dr. M. Srimannarayana, a Gold medallist in M.A (IR & PM) from Andhra University, has more than three decades of experience as a distinguished academician and consultant. His doctorate from Utkal University was on Training and Development in Public Sector Undertakings. He is a member of the Association of Talent Development, USA and the Indian Society for Training and Development. Prior to joining XLRI, he was with the Maharishi Institute of Management, Hyderabad. Dr. M. Srimannarayana has presented five refereed papers in international conferences and besides publishing thirty articles in refereed journals, he is on the editorial and advisory board of reputed journals and university departments. His areas of interest are Staffing, Training needs assessment and Training evaluation and he has assisted various companies, government departments and state governments through consultancy projects and MDPs on HR policy, Training and HRD.","M.A. (Gold Medalist - IR& PM, Andhra Univ.), Ph.D. (Utkal Univ.)",Dr. M. Srimannarayana,,,,INR 95000 + GST,USD 1750,XLRI Jamshedpur,For Indian and International Participants – Working professionals with a minimum of 2 years of experience | Diploma Holders with relevant work experience may be considered on a case by case basis, Recruiting  |  HR management  |  Training and mentoring ,"HR Professionals, Management Professionals", Executive Development Program, Talent Management  |  Recruiting  |  Talent Development  |  Career and succession planning  |  Mentoring and Coaching  |  Measuring Effectiveness of Talent Management  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network 
"1. Basic Concepts & Applications of Project Management
2. Project Modelling and Management with Applications in MS-Project
3. Financial & Risk Aspects of Projects
4. Workshop on Risk Assessment & Management in Projects
5. People Management in Projects
6. Project Governance & Monitoring
7. Customized for Non-IT Professionals
8. Customized for IT Professionals",https://talentedge.com/xlri-jamshedpur/project-management-course,,"In today’s world of business, the ability to successfully manage business projects is a critical skill for the sustained profitability and existence of organizations. Moreover, most members of organizations are involved in project-related activities",,"Professor Rajiv Misra is a mechanical engineer from IIT Roorkee and has done his post-graduation in Industrial Engineering from the State University of New York, Buffalo, USA..He started his career with an automobile company, Ashok Leyland, India in 1982 and then moved to Tata-Robins-Fraser (TRF). TRF is an Engineer to Order Company. He joined XLRI as a full time faculty in June 2005, but has been associated with XLRI as a visiting faculty since 1993. His interests are in the areas of Production Planning, Project Management and Theory of Constraints. He has taught various courses and programs at XLRI, ISB, IIM Udaipur, IIM Ranchi, Great Lakes etc..He has worked in the areas of Manufacturing, Project Management and Theory of Constraints with companies which include McKinsey, ITC, Frito Lay, Hero Motocorp, Larsen and Toubro, Tube Investments of India, Tata Steel, Tata Motors, Britannia, BALCO, CESC etc..He has published various Operations Management Cases in Ivey Publishing, Case Center etc. He has been an external assessor for the Tata Business Excellence Award and has been part of the assessment team for five Tata companies.","B.E (Mech; IIT Roorkee, India), M.S. (Industrial; SUNY, Buffalo, USA)",Rajiv Misra,"Professor Rajiv Misra is a mechanical engineer from IIT Roorkee and has done his post-graduation in Industrial Engineering from the State University of New York, Buffalo, USA..He started his career with an automobile company, Ashok Leyland, India in 1982 and then moved to Tata-Robins-Fraser (TRF). TRF is an Engineer to Order Company. He joined XLRI as a full time faculty in June 2005, but has been associated with XLRI as a visiting faculty since 1993. His interests are in the areas of Production Planning, Project Management and Theory of Constraints. He has taught various courses and programs at XLRI, ISB, IIM Udaipur, IIM Ranchi, Great Lakes etc..He has worked in the areas of Manufacturing, Project Management and Theory of Constraints with companies which include McKinsey, ITC, Frito Lay, Hero Motocorp, Larsen and Toubro, Tube Investments of India, Tata Steel, Tata Motors, Britannia, BALCO, CESC etc..He has published various Operations Management Cases in Ivey Publishing, Case Center etc. He has been an external assessor for the Tata Business Excellence Award and has been part of the assessment team for five Tata companies.","Fellow (IIM Calcutta), Chartered Accountant (ICAI), CFA (ICFAI), M.Com (Mumbai Univ.)",Dr. Santosh Sangem,INR 100000 + GST,USD 2000,XLRI Jamshedpur,Participants of this program are required to have access to devices (laptop/desktop) with operating systems of Windows 7 or higher (home/student/professional edition of Windows) as you will be required to install MS Project as a part of this program, Project Management  |  Budgeting skill  |  Decision-making  |  People Management ,"Senior Professionals, Managers & Leaders, Working Executives, Project Team Members", Executive Development Program, Project Management  |  MS-Project  |  People Management in Projects  |  Project Budgeting & Cost Control  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network 
"1. Basics of Java Programming
2. Object Oriented Programming in Java
3. OOD+Software Engineering
4. Data Structures & Algorithms
5. Soft Skills
6. Pre-requisites
7. User Interfaces & Frontend Development
8. Backend Development
9. Software Architecture and Deployment
10. Capstone Project",https://talentedge.com/iiit-bangalore/full-stack-software-development,,"The Executive Post Graduate Program is an engaging yet rigorous 13-month online programme designed specifically for working professionals to develop practical knowledge and skills, establish a professional network, and accelerate entry into full stack development careers. The certificate is awarded by IIIT Bangalore in Software Development. Learners will be able to carry out",,"Vishwa Mohan currently works as the Staff Engineer at LinkedIn India. With over 10 years of experience, Mohan has worked extensively on web services, and scaling systems, and has a specific interest in distributed systems. He has a B.Tech and an M.Tech in Engineering from the India Institute of Technology. ","Staff Engineer, LinkedIn",Vishwa Mohan,"Vishwa Mohan currently works as the Staff Engineer at LinkedIn India. With over 10 years of experience, Mohan has worked extensively on web services, and scaling systems, and has a specific interest in distributed systems. He has a B.Tech and an M.Tech in Engineering from the India Institute of Technology. ","Senior Software Engineer, Walmart",Yogesh Singh,INR 211017 + GST,USD 0,IIIT Bangalore,, Dynamic Programming  |  Graph reading & Algorithms  |  Interview skills  |  Web Development Frameworks  |  System Design  |  Cloud-Native Delpoyment ,"Software Developers, IT Professionals, Engineers, Analysts, Tech Support Professionals, Freshers wanting to kick-start career in software development", Executive Post Graduate Program, Data Structures & Algorithm  |  Fundamentals of Computer Science  |  Rich and Interactive Web UI  |  Software Development Processes  |  95% Completion Rate  |  92% Satisfaction Score 
"1. Introduction to R & Python
2. Advanced Features in Excel
3. Sources of Data
4. Data Wrangling in R and Python
5. Introduction to SQL
6. Data Visualization
7. Text Analysis
8. Time Series Analysis
9. Supervised Machine Learning
10. Unsupervised Machine Learning
11. Deep Learning
12. Cloud Computing",https://talentedge.com/xlri-jamshedpur/data-science-course-python,,"Today every business is trying to engage with data science in one form or another. Unfortunately, very few businesses have been able to even grasp the idea of what constitutes data science, let alone a useful or profitable implementation of the same. The phrase - data science triggers thoughts on related terms like business analytics, operations research, business intelligen",,"Prof. Pitabas Mohanty is a Fellow of the Indian Institute of Management, Bangalore. He was a Senior Visiting Scholar at Stern School of Business, New York University in 2009-10. A Gold Medalist in MA (Applied Economics), he is also a Chartered Financial Analyst and a cost accountant..He has got more than twenty years of teaching experience in Investments and Corporate Finance. He has conducted numerous training programs for companies in India and abroad including companies from Dubai, Qatar, and Kuwait in areas like Company Valuation and Financial Modeling. He is the co-author of books on ‘Investments’ and ‘Principles of Corporate Finance’ published by the McGraw Hill Education. He is actively into research in corporate finance and investments with many publications in books and referred journals. He has consulted a few companies in their valuation. He has won numerous awards at various research conferences.","Fellow (IIM Bangalore), CFA (ICFAI), CWA, Fulbright Fellow (Stern School of Business, New York University)",Prof. Pitabas Mohanty,,,,INR 100000 + GST,USD 2000,XLRI Jamshedpur,"Mathematics as a subject up to Class XII | Familiarity with Python and R is desirable but not mandatory | Knowledge of basic programming concepts will be beneficial | This course is entirely hands-on, and so it is recommended, though not a necessity, that students have two devices – one to follow the lecture and the other for hands-on practice on Python and R (laptop/desktop)"," Programming skills  |  Data visualization  |  Statistical skills  |  Excel, Python, and R ","Managers & Leaders, Young Professionals, Executives with Analytical Aptitude, Individuals who aspire for a career in business analytics", Executive Development Program, Text Analysis  |  Cloud Computing using AWS and GCP  |  Data Visualization  |  Time Series Forecasting  |  Machine Learning Models  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  Practical/Hands-On Experiential Learning 
"1. Leadership
2. Connecting the Dots – Digital Business & Technology
3. Business Strategy
4. Critical Thinking and Decision Making
5. Finance, Risk, and Business Models
6. Managing Stakeholders & Organizational Change
7. Go-To-Market (GTM) Strategy
8. Operational Excellence",https://talentedge.com/xlri-jamshedpur/cxo-programme-in-driving-growth,,"The 21st-century has witnessed volatility and rapid change in the dynamics of economies and industries at a pace unseen before. Traditional ways of doing business are being questioned and challenged by newer business models and emergent industries. With the rapid rate of change in the business environment and competitive pressures, a key challenge for CEOs/Owners/Senior Mana",,"B. E. (Mechanical), PGDM (Finance), Fellow (Ph.D.), IIM Calcutta.An eclectic profile with qualifications in mechanical engineering, finance, general management, organizational behavior, and sociology, along with having field experience in anthropology, archaeology, journalism, and yoga for sadhana and therapy. .Dr. Manish Singhal has work experience in chemical plant maintenance (J K Synthetics, Jhalawar), event management, administration, teaching, and training in holistic personality development and various management functions and skills. In particular, he has six years of full-time experience as a selfless missionary dedicated to ‘Man-making & Nation-building’ and has provided the breadth of experience to face various human challenges and encourage the move towards actualizing one’s potential..At XLRI, over the last 17+ years, he has taught MBA courses on INDIVIDUAL BEHAVIOR, MANAGERIAL COUNSELING, NEGOTIATIONS, GROUP BEHAVIOR & LEADERSHIP, and the individual-, the group-, and organization-level issues that underlie Leadership effectiveness. .Dr. Manish has guided Ph.D. students in their theses on Leadership emergence; Moral & Spiritual Leadership; Mentoring processes and outcomes; and The Role of Spousal Network Overlap in Networks in Organizations..As a renowned trainer, Manish has designed and directed several successful open-enrollment Management Development Programs at XLRI on a range of themes, including “Leadership Excellence through Self-Discovery”; “Emotional Intelligence & Interpersonal Skills”; “Business Acumen for Leadership Excellence”; “Interpersonal Effectiveness through Communication Skills”; “Managerial Effectiveness through Self Awareness”; “Beyond Coping: Thriving under Stress in the Workplace” and “Leading Teams to Synergy.” His services have been availed by corporates across sectors and hierarchies for upgrading and transforming their talent pipelines.. ","B. E. (Mechanical), PGDM (Finance), Fellow (PhD), IIM Calcutta",Dr. Manish Singhal,"B. E. (Mechanical), PGDM (Finance), Fellow (Ph.D.), IIM Calcutta.An eclectic profile with qualifications in mechanical engineering, finance, general management, organizational behavior, and sociology, along with having field experience in anthropology, archaeology, journalism, and yoga for sadhana and therapy. .Dr. Manish Singhal has work experience in chemical plant maintenance (J K Synthetics, Jhalawar), event management, administration, teaching, and training in holistic personality development and various management functions and skills. In particular, he has six years of full-time experience as a selfless missionary dedicated to ‘Man-making & Nation-building’ and has provided the breadth of experience to face various human challenges and encourage the move towards actualizing one’s potential..At XLRI, over the last 17+ years, he has taught MBA courses on INDIVIDUAL BEHAVIOR, MANAGERIAL COUNSELING, NEGOTIATIONS, GROUP BEHAVIOR & LEADERSHIP, and the individual-, the group-, and organization-level issues that underlie Leadership effectiveness. .Dr. Manish has guided Ph.D. students in their theses on Leadership emergence; Moral & Spiritual Leadership; Mentoring processes and outcomes; and The Role of Spousal Network Overlap in Networks in Organizations..As a renowned trainer, Manish has designed and directed several successful open-enrollment Management Development Programs at XLRI on a range of themes, including “Leadership Excellence through Self-Discovery”; “Emotional Intelligence & Interpersonal Skills”; “Business Acumen for Leadership Excellence”; “Interpersonal Effectiveness through Communication Skills”; “Managerial Effectiveness through Self Awareness”; “Beyond Coping: Thriving under Stress in the Workplace” and “Leading Teams to Synergy.” His services have been availed by corporates across sectors and hierarchies for upgrading and transforming their talent pipelines.. ","B.E. (Electrical), MBA (Fin), Fellow (IIM Bangalore)",Dr. Rajeev Sharma,INR 275000 + GST,USD 5500,XLRI Jamshedpur,CXOs/Senior Managers with a minimum 15 years total experience of which at least 5 years in a senior managerial position | Professionals already working at CXO levels but with less than 15 years of overall experience will be considered for admission on a case to case basis, Decision-Making Skills  |  Critical Thinking  |  GTM Strategy Planning  |  Pain-Points Management  |  Building Competitive Strategies  |  Managing Processes & Quality ,"CEOs & Business Owners, CXOs, Senior Executives, Senior Managers", Executive Development Programme, Developing a GTM Strategy for business  |  Preparing & Evaluating Business Plans  |  Creating Digital Journey Mapping  |  Stakeholder & Relationship Management  |  Business models in the digital age  |  Developing new product and services  |  Risk Assessment & Cost-Benefit Analysis  |  Change Management Frameworks  |  95% Completion Rate  |  92% Satisfaction Score  |  78% Referablity  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals 
"1. Ecommerce Process and Business Models
2. Data Visualization and Storytelling for Ecommerce platform
3. Basics of Statistics and Analytics for Ecommerce
4. Category Management in Ecommerce Using Analytics
5. Online Consumer Insights
6. Ecommerce Supply Chain Analytics
7. Mobile App Analytics for Ecommerce
8. Social Media Analytics for Ecommerce
9. Pricing and Assortment Analytics for Ecommerce",https://talentedge.com/xlri-jamshedpur/ecommerce-supply-chain-management-and-analytics,,Analytics plays an important role in a team and helps make better decisions for an organization based on data. This course is intended towards understanding the basic concepts of analytics and their use in e-commerce.,,"Prof. Chakraborty completed his Fellow Program in Management from IIM Calcutta in Operations Management with a minor in Economics. The title of his thesis was ""Perspectives in Supply Chain Coordination and Supply Chain Efficiency"". Prior to joining IIM Calcutta, he did his M.Sc. in Applied Mathematics from the University of Calcutta securing 2nd rank. His specialization was Optimization Techniques and Operations Research with elective paper in Mathematical Economics. After completion of doctorate, he joined the corporate with JDA Software (a leading firm in the Supply Chain Consulting domain) as a Senior Business Consultant in the domain of Strategic Services. At JDA, he trained in multiple tools like JDA Demand (used for Demand Forecasting), JDA Sales and Operations Planning, JDA Inventory Optimization and JDA Supply Chain Planner (used for Aggregate Production Planning and Materials Requirement Planning)..His research interests include Supply Chain Management and Applications of Game Theory in the context of Supply Chain Management. He also has keen interest in the application of Operations Research and Statistics in Sports..His hobbies include Quizzing, Watching Football (Liverpool FC supporter) and analyzing elections.","M.Sc. (Applied Mathematics), Fellow (IIM Calcutta)",Dr. Abhishek Chakraborty,"Prof. Chakraborty completed his Fellow Program in Management from IIM Calcutta in Operations Management with a minor in Economics. The title of his thesis was ""Perspectives in Supply Chain Coordination and Supply Chain Efficiency"". Prior to joining IIM Calcutta, he did his M.Sc. in Applied Mathematics from the University of Calcutta securing 2nd rank. His specialization was Optimization Techniques and Operations Research with elective paper in Mathematical Economics. After completion of doctorate, he joined the corporate with JDA Software (a leading firm in the Supply Chain Consulting domain) as a Senior Business Consultant in the domain of Strategic Services. At JDA, he trained in multiple tools like JDA Demand (used for Demand Forecasting), JDA Sales and Operations Planning, JDA Inventory Optimization and JDA Supply Chain Planner (used for Aggregate Production Planning and Materials Requirement Planning)..His research interests include Supply Chain Management and Applications of Game Theory in the context of Supply Chain Management. He also has keen interest in the application of Operations Research and Statistics in Sports..His hobbies include Quizzing, Watching Football (Liverpool FC supporter) and analyzing elections.","PGDM (IIM Bangalore), BE (Jadavpur University), SGVU",Prof. Atanu Ghosh,INR 165000 + GST,USD 2400,XLRI Jamshedpur,Minimum 3 years of work experience is required, Analytical Skills  |  Data Visualization  |  Supply chain management  |  Revenue generating skills through ecommerce ,"Mid to Senior level professionals working at e-commerce firms, Professionals willing to work in the e-commerce industry, Professionals working in operations domain", Advanced Certificate, Areas in e-commerce organization where analytics can be used for improvement  |  Building data driven e-commerce organizations  |  Evaluating decisions based on analytical skills in e-commerce firms  |  Analytics orientation to motivate participants in order to employ it in e-commerce  |  95% Completion Rate  |  92% Satisfaction Score 
"1. Introduction to the Course, Installing the software
2. Introduction to R
3. Introduction to Python
4. Introduction to Finance
5. Understanding Machine Learning
6. Machine Learning using Accounting Data
7. Understanding data in finance, sources of data, cleaning and pre-processing data
8. Financial Fraud Analytics
9. News Analytics and Sentiment Analysis
10. Analytics in Business Valuation
11. Time Series Analysis in R/Python
12. Understanding stock price behaviour
13. Introduction to Technical Analysis
14. Back-testing Trading Models
15. Valuation of Options
16. Portfolio Analytics
17. Building stock prices forecasting models using Machine Learning and Deep learning",https://talentedge.com/xlri-jamshedpur/financial-analytics-course,,Nearly every industry is generating a vast amount of data and nearly every business leader today understands the importance of making sense out of that data to drive business strategy. Companies need more from finance than just accurate financial statement analysis. They need predictive insights which,,"Prof. Pitabas Mohanty is a Fellow of the Indian Institute of Management, Bangalore. He was a Senior Visiting Scholar at Stern School of Business, New York University in 2009-10. A Gold Medalist in MA (Applied Economics), he is also a Chartered Financial Analyst and a cost accountant..He has got more than twenty years of teaching experience in Investments and Corporate Finance. He has conducted numerous training programs for companies in India and abroad including companies from Dubai, Qatar, and Kuwait in areas like Company Valuation and Financial Modeling. He is the co-author of books on ‘Investments’ and ‘Principles of Corporate Finance’ published by the McGraw Hill Education. He is actively into research in corporate finance and investments with many publications in books and referred journals. He has consulted a few companies in their valuation. He has won numerous awards at various research conferences.","Fellow (IIM Bangalore), CFA (ICFAI), CWA, Fulbright Fellow (Stern School of Business, New York University)",Prof. Pitabas Mohanty,,,,INR 100000 + GST,USD 2000,XLRI Jamshedpur,A minimum of 2 years of work experience | Some level of programming experience will be beneficial, Accounting skills  |  Interpersonal skills  |  Communication skills  |  Problem-solving skills  |  Technical skills  |  Critical-thinking  |  Analytical skills  |  Attention to detail  |  Leadership and Management skills ,"Finance Professionals, Finance Executives, Analysts", Executive Development Program, Performing financial analysis using R and Python  |  Building Advanced Financial Models  |  Time Series Analysis and Forecasting  |  Machine Learning  |  Credit Risk Modeling  |  95% Completition Rate  |  92% Satisfaction Score  |  78% Referablity  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  One-on-one Interactions  |  Mobile Platform Enabled 
"1. What is Sales Forecasting and Demand Planning?
2. Data Visualization and Storytelling
3. Forecasting Accuracy Metrics and Tracking Signal
4. Introduction to Time Series Analysis
5. Smoothing Based Forecasting Techniques
6. Forecasting of Intermittent Demand
7. Introduction to Descriptive Statistics using R
8. Regression Based Forecasting Methods (include Hypothesis testing)
9. Advanced Time Series Techniques
10. Forecasting for New Products
11. Capstone Project
12. On-Campus Component (2 days)",https://talentedge.com/xlri-jamshedpur/advanced-certificate-in-sales-forecasting-and-demand-planning,,"Sales forecasting and demand planning are essential business processes. Based on past and present performance as well as current trends, forecasting is done to predict future events. Having accurate historical and current data is the key. Demand planning, on the other hand, involves devising plans to realize scenarios that you would like to see unfold in the future. Planning",,"Prof. Chakraborty completed his Fellow Program in Management from IIM Calcutta in Operations Management with a minor in Economics. The title of his thesis was ""Perspectives in Supply Chain Coordination and Supply Chain Efficiency"". Prior to joining IIM Calcutta, he did his M.Sc. in Applied Mathematics from the University of Calcutta securing 2nd rank. His specialization was Optimization Techniques and Operations Research with elective paper in Mathematical Economics. After completion of doctorate, he joined the corporate with JDA Software (a leading firm in the Supply Chain Consulting domain) as a Senior Business Consultant in the domain of Strategic Services. At JDA, he trained in multiple tools like JDA Demand (used for Demand Forecasting), JDA Sales and Operations Planning, JDA Inventory Optimization and JDA Supply Chain Planner (used for Aggregate Production Planning and Materials Requirement Planning)..His research interests include Supply Chain Management and Applications of Game Theory in the context of Supply Chain Management. He also has keen interest in the application of Operations Research and Statistics in Sports..His hobbies include Quizzing, Watching Football (Liverpool FC supporter) and analyzing elections.","M.Sc. (Applied Mathematics), Fellow (IIM Calcutta)",Dr. Abhishek Chakraborty,"Prof. Chakraborty completed his Fellow Program in Management from IIM Calcutta in Operations Management with a minor in Economics. The title of his thesis was ""Perspectives in Supply Chain Coordination and Supply Chain Efficiency"". Prior to joining IIM Calcutta, he did his M.Sc. in Applied Mathematics from the University of Calcutta securing 2nd rank. His specialization was Optimization Techniques and Operations Research with elective paper in Mathematical Economics. After completion of doctorate, he joined the corporate with JDA Software (a leading firm in the Supply Chain Consulting domain) as a Senior Business Consultant in the domain of Strategic Services. At JDA, he trained in multiple tools like JDA Demand (used for Demand Forecasting), JDA Sales and Operations Planning, JDA Inventory Optimization and JDA Supply Chain Planner (used for Aggregate Production Planning and Materials Requirement Planning)..His research interests include Supply Chain Management and Applications of Game Theory in the context of Supply Chain Management. He also has keen interest in the application of Operations Research and Statistics in Sports..His hobbies include Quizzing, Watching Football (Liverpool FC supporter) and analyzing elections.","B.Stat. (Hons.) and M.Stat., Calcutta; M.A. and Ph.D. in Statistics, University of California, Berkeley",Prof. Apratim Guha,INR 115000 + GST,USD 1800,XLRI Jamshedpur,, Predictive Analytics  |  Data Visualization & Storytelling  |  Budgeting & Financial Management  |  Planning & Forecasting ,"Professionals at E-Commerce firms, Data-driven decision makers", Executive Development Programme, Sales Forecasting & Demand Planning  |  Data Visualization & Story-telling  |  Advanced Time Series Techniques  |  Descriptive Statistics using R  |  95% Completion Rate  |  92% Satisfaction Score  |  78% Referablity  |  Convenient Schedules to Suit Working Professionals 
"1. Introduction
2. Analysis Framework
3. Growth Strategies
4. Competitive Strategies
5. Implementation
6. Leadership
7. Individual Creativity
8. Innovation
9. Corporate Innovation
10. Digital Disruption & Innovation",https://talentedge.com/xlri-jamshedpur/executive-certificate-programme-in-advanced-strategic-management-innovation,,"Indian businesses across sectors realise that strategic management and innovation steer competitive advantage thus it is no longer the prerogative of top management or corporate headquarter. Middle-level managers play a crucial role in the process of organizational decision-making. Though they heavily contribute to the strategic decision-making process, which defines the pat",,"Dr Rajeev has a PGDM from IIM Ahmedabad and a PhD from Utkal University. He is the CEO of 36Inc, Niladri Enterprises and Miles Solutions. His areas of research include entrepreneurship and innovation, and he teaches programmes on entrepreneurship and new ventures. Dr Rajeev is also known to have started six business incubators across four different countries, and his research work is regularly featured in notable national and international refereed journals and publications.","General Management, PGDM IIM Ahmedabad, Ph.D. from Utkal University, LLB",Dr Rajeev Roy,"Dr Rajeev has a PGDM from IIM Ahmedabad and a PhD from Utkal University. He is the CEO of 36Inc, Niladri Enterprises and Miles Solutions. His areas of research include entrepreneurship and innovation, and he teaches programmes on entrepreneurship and new ventures. Dr Rajeev is also known to have started six business incubators across four different countries, and his research work is regularly featured in notable national and international refereed journals and publications.","Organisational Behaviour, XLRI PMIR 1996, Ph.D from Madras University","Fr Sebastian George, S. J.",INR 215000 + GST,USD 5200,XLRI Jamshedpur,The participants should have a minimum 3 years of work experience., Strategic Management  |  Risk Mitigation  |  Design Thinking  |  Negotiation Skills  |  Transformational Leadership  |  Outcome-driven Innovation ,"Senior and Mid-level Managers, Consultants, Entrepreneurs and Small Business Owners", Executive Development Programme, Value Creation and Value Chain Analysis  |  Transformational Leadership & Change Management  |  Corporate Entrepreneurship  |  Competitive Advantage and Strategy  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network 
"1. Fundamentals of Marketing
2. Consumer Behaviour
3. Marketing Research & Analytics
4. Sales & Distribution Strategy
5. Product Strategy
6. Branding through Integrated Marketing Communication (IMC) Strategy
7. Customer Relationship Management (CRM)
8. Services Marketing Strategy
9. Business To Business (B2B) Marketing
10. Digital & Social Media Marketing
11. Capstone Project on Marketing Strategy
12. Campus Component",https://talentedge.com/iim-lucknow/integrated-marketing-strategy-course,,"Irrespective of any era, kind of industry and vertical, the backbone of any business has been its marketing function. Over a period of time the nature of marketing has changed primarily due to highly connected world (internet), digitization (due to smart devices) and changing aspiration of people (demographics). Today, the person or organization is compelled to respond to th",,"Devashish has been with IIM Lucknow for the last 17 years. He was earlier with Grasim Industries Limited, Worsted Suiting’s division, wherein he executed assignments in Brand promotion and retail network development. His core area is Marketing Management wherein he focuses on Consumer Behaviour, Retail Management and Destination Marketing. As a part of the 4 member Noida Core Committee he actively contributed in establishing the academic programme in the new satellite campus of IIM Lucknow at Noida..He is involved in Broad Spectrum Problem solving for organisations which includes Business Horizon Analysis, Integration of HR policies with Business Objectives, Marketing Strategy formulation and Marketing communication strategy with an emphasis on Brand Equity. He trains senior and middle-level executives in Sales Leadership, Business Efficacy, as well as Integration of Product and Brand with Marketing Strategy. He has undergone training at Cornell University on Policy Analysis & Programme Evaluation and Harvard Business School on Participant Centred Learning.","Professor - Marketing, Ph.D., MBA",Prof. Devashish Das Gupta,"Devashish has been with IIM Lucknow for the last 17 years. He was earlier with Grasim Industries Limited, Worsted Suiting’s division, wherein he executed assignments in Brand promotion and retail network development. His core area is Marketing Management wherein he focuses on Consumer Behaviour, Retail Management and Destination Marketing. As a part of the 4 member Noida Core Committee he actively contributed in establishing the academic programme in the new satellite campus of IIM Lucknow at Noida..He is involved in Broad Spectrum Problem solving for organisations which includes Business Horizon Analysis, Integration of HR policies with Business Objectives, Marketing Strategy formulation and Marketing communication strategy with an emphasis on Brand Equity. He trains senior and middle-level executives in Sales Leadership, Business Efficacy, as well as Integration of Product and Brand with Marketing Strategy. He has undergone training at Cornell University on Policy Analysis & Programme Evaluation and Harvard Business School on Participant Centred Learning.","Professor - Marketing, Fellow (IRMA), MBA",Prof Rajesh K Aithal,INR 232000 + GST,USD 4200,IIM Lucknow,"Working professionals with a minimum of 5 years of work experience. | Note: For program aspirants with more than 20 years of work experience, selection will be on a case-to-case basis", Marketing skills  |  Communication  |  Decision-making  |  Brand Management  |  Public Relation  |  Customer Relationship  |  Social Media marketing  |  Integrated Marketing Communication & Strategy ,"Marketing Managers, Sales Professionals, Working Executives, Marketing Professionals", Executive Program," Marketing ecosystem  |  Marketing in Digital Business era  |  Segmenting, Targeting & Positioning  |  Consumer Behaviour  |  B2B marketing  |  Brand Management  |  Advertising/PR/Sales Promotion  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  Practical/Hands-On Experiential Learning "
